nFinIndID	sPeriodType	nTB	nOSB	nVSP	nClientID	nProductMK	nProductGID	nCompanyGroupID	nChannelMK	nChannelGID	nSegmentMK	nSegmentGID	dtDate	nServiceChannelMK	sServiceChannelCd	nAdjTypeID	nPayTermId	nUFIID	nEFIID	nOrgProfitCenterGID	dvalue	nSegmentGID_RB	nSegmentGID_KIB	nIndustryGID
17	M	99	-1	-1	30099310026	4060100	2059099	4	3080	173099	20402	101799	30.09.2020	1	MASS	9000	0	-1	?	158799	-1	-1	101799	?
17	M	13	8596	-1	31221661026	11040393	2059199	1	3080	172799	20402	101799	28.02.2018	1	MASS	-2	-1	-1	?	148199	1	-1	101799	?
10	M	52	8631	-1	666151126	11040407	2058399	4	3080	172799	20201	102299	30.06.2018	1	MASS	-2	-1	900238	125	150599	1	-1	102299	?
10	M	52	8619	753	956627526	11040407	2058399	4	3080	172799	20402	101799	28.02.2021	1	MASS	9001	-1	900238	125	158799	1	-1	101799	?
17	M	55	9055	28	870456126	4130800	2059599	1	3080	173099	20402	101799	31.05.2021	1	MASS	-2	-1	-1	?	158799	1	-1	101799	?
10	M	99	-1	-1	1187170626	11040407	2058399	4	3080	172799	20402	101799	29.02.2020	1	MASS	9000	0	900238	125	158799	-1	-1	101799	?
17	M	54	8623	0	29855820026	4080000	2058699	4	3080	172799	20402	101799	31.03.2019	1	MASS	-2	-1	-1	?	148199	1	-1	101799	?
10	M	49	-1	0	982050826	11040407	2058399	4	3080	172799	20402	101799	31.12.2020	1	MASS	9001	-1	900238	125	158799	1	-1	101799	?
10	M	99	-1	-1	1120576326	4080000	2058699	4	3080	173099	20402	101799	31.03.2021	1	MASS	9000	-1	900238	125	158799	-1	-1	101799	?
17	M	16	29	29	670216226	11040407	2058399	4	3080	173099	20201	102299	29.02.2020	1	MASS	9001	-1	-1	?	158799	1	-1	102299	?
13	M	99	-1	-1	1111865126	4080000	2058699	4	3080	173099	20402	101799	30.04.2020	1	MASS	9000	0	900244	1030	158799	-2	-1	101799	?
10	M	55	8617	8617	956744226	4080000	2058699	4	3080	172799	20202	102099	30.04.2021	1	MASS	9001	-1	900238	125	158799	1	-1	102099	?
11	M	99	-1	-1	1197082726	11040407	2058399	4	3080	173099	20402	101799	31.07.2020	1	MASS	9000	0	900241	1029	158799	-2	-1	101799	?
10	M	13	8594	4	56795644042	11040407	2058399	4	3080	173099	20401	102199	30.06.2021	1	MASS	9001	-1	900238	125	158799	2	-1	102199	?
10	M	40	8639	3	1222072326	4130800	2059599	1	3080	173099	20402	101799	31.12.2020	1	MASS	-2	-1	900238	125	158799	1	-1	101799	?
17	M	55	8617	8617	987964226	4060100	2059099	4	3080	172799	20402	101799	31.03.2020	1	MASS	9001	-1	-1	?	158799	1	-1	101799	?
13	M	42	8610	3	917605826	4130104	2922399	2	3080	173099	20402	101799	31.10.2020	1	MASS	-2	-1	900244	1030	158799	1	-1	101799	?
10	M	52	8619	15	30556938026	4060100	2059099	4	3080	173099	20402	101799	30.11.2020	1	MASS	9001	-1	900238	125	158799	1	-1	101799	?
10	M	52	5230	142	664900026	11040407	2058399	4	3080	172799	20402	101799	30.06.2020	1	MASS	9001	-1	900238	125	158799	3	-1	101799	?
1	M	52	5230	9	29896985026	11040393	2059199	6	3080	173099	20402	101799	31.01.2020	1	MASS	60001	-1	5000012	1865	148199	625	-1	101799	?
1	M	40	1024	-1	692138726	11040407	2058399	4	3080	173099	20402	101799	30.06.2021	1	MASS	9001	-1	10601043	1034	158799	9214,83	-1	101799	?
10	M	99	-1	-1	823485326	11040407	2058399	4	3080	172799	20202	102099	31.07.2020	1	MASS	9000	0	900238	125	158799	-2	-1	102099	?
10	M	44	8615	8	870067026	4060100	2059099	4	3080	173099	20402	101799	31.03.2020	1	MASS	9001	-1	900238	125	158799	1	-1	101799	?
10	M	16	8597	-1	969724426	4130200	2058599	2	3080	173099	20402	101799	31.05.2019	1	MASS	-2	-1	900238	125	148199	2	-1	101799	?
10	M	55	9055	23	661506626	4130900	2060699	2	3080	173099	20401	102199	31.10.2019	1	MASS	-2	-1	900238	125	151999	1	-1	102199	?
10	M	52	8632	-1	992849226	11040407	2058399	4	3080	172799	20202	102099	31.01.2021	1	MASS	9001	-1	900238	125	158799	2	-1	102099	?
10	M	44	8616	2	1234502926	11040407	2058399	4	3080	173099	20402	101799	31.01.2020	1	MASS	9001	-1	900238	125	158799	1	-1	101799	?
10	M	40	8604	2	702705926	4060100	2059099	4	3080	173099	20402	101799	30.06.2020	1	MASS	9001	-1	900238	125	158799	1	-1	101799	?
17	M	44	8644	8644	952285926	11040407	2058399	4	3080	173099	20402	101799	28.02.2021	1	MASS	9001	-1	-1	?	158799	1	-1	101799	?
17	M	99	-1	-1	661754726	11040407	2058399	4	3080	172799	20202	102099	31.08.2020	1	MASS	9000	0	-1	?	158799	-9	-1	102099	?
11	M	99	-1	-1	661877926	4080000	2058699	4	3080	173099	20202	102099	30.04.2020	1	MASS	9000	0	900241	1029	158799	-2	-1	102099	?
17	M	67	1790	20299	29408830026	11040393	2059199	1	3080	173099	20402	101799	30.04.2018	1	MASS	-2	-1	-1	?	148199	1	-1	101799	?
17	M	70	8556	1	908706426	4060100	2059099	4	3080	173099	20402	101799	31.03.2020	1	MASS	9001	-1	-1	?	158799	1	-1	101799	?
10	M	18	8586	-1	29120255026	11040407	2058399	4	3080	173099	20202	102099	31.12.2020	1	MASS	9001	-1	900238	125	158799	2	-1	102099	?
17	M	38	9038	-1	30865451026	11040393	2059199	1	3080	172799	20402	101799	28.02.2018	1	MASS	-2	-1	-1	?	148199	1	-1	101799	?
1	M	42	8610	9	758936226	4130104	2922399	2	3080	173099	20402	101799	31.10.2019	1	MASS	-2	-1	5000010	1865	148199	550	-1	101799	?
17	M	42	6984	10	987220326	4130800	2059599	1	3080	173099	20402	101799	30.06.2020	1	MASS	-2	-1	-1	?	158799	1	-1	101799	?
10	M	99	-1	-1	1030735726	11040407	2058399	4	3080	173099	20402	101799	29.02.2020	1	MASS	9000	0	900238	125	158799	-3	-1	101799	?
10	M	42	8610	-1	863542026	11040407	2058399	4	3080	172799	20402	101799	30.09.2018	1	MASS	-2	-1	900238	125	148199	1	-1	101799	?
17	M	52	5221	10	672816126	11040407	2058399	4	3080	173099	20402	101799	31.08.2020	1	MASS	9001	-1	-1	?	158799	2	-1	101799	?
17	M	99	-1	-1	924194026	11040407	2058399	4	3080	173099	20401	102199	31.07.2020	1	MASS	9000	0	-1	?	158799	-1	-1	102199	?
11	M	52	5230	9	990788826	4130800	2059599	2	3080	173099	20402	101799	30.04.2021	1	MASS	-2	-1	900241	1029	158799	1	-1	101799	?
17	M	99	-1	-1	665635626	11040407	2058399	4	3080	172799	10100	101699	31.07.2021	1	MASS	9000	-1	-1	?	158799	-3	-1	101699	?
17	M	18	8586	-1	672014026	11040407	2058399	4	3080	172799	20202	102099	28.02.2021	1	MASS	9001	-1	-1	?	158799	2	-1	102099	?
10	M	42	8611	10	29232573026	4080000	2058699	4	3080	173099	20401	102199	31.07.2021	1	MASS	9001	-1	900238	125	158799	1	-1	102199	?
10	M	52	5230	-1	856337926	4080000	2058699	4	3080	173099	20402	101799	30.04.2019	1	MASS	-2	-1	900238	125	148199	1	-1	101799	?
10	M	40	17	2	669385026	4060100	2059099	4	3080	173099	20402	101799	31.01.2020	1	MASS	9001	-1	900238	125	158799	5	-1	101799	?
17	M	42	8612	-1	754360826	11040407	2058399	4	3080	173099	20402	101799	31.01.2019	1	MASS	-2	-1	-1	?	148199	1	-1	101799	?
10	M	40	17	-1	931458626	11040407	2058399	4	3080	173099	20402	101799	31.08.2018	1	MASS	-2	-1	900238	125	148199	1	-1	101799	?
10	M	13	9013	9013	665982826	11040407	2058399	4	3080	173099	20202	102099	31.10.2018	1	MASS	-2	-1	900238	125	152299	1	-1	102099	?
17	M	54	8588	2	1154886926	11040407	2058399	4	3080	173099	20401	102199	30.11.2020	1	MASS	9001	-1	-1	?	158799	1	-1	102199	?
10	M	18	8601	8601	924639326	11040407	2058399	4	3080	173099	20402	101799	31.12.2019	1	MASS	-2	-1	900238	125	148199	1	-1	101799	?
10	M	52	5230	173	994291926	11040407	2058399	4	3080	172799	20401	102199	30.09.2020	1	MASS	9001	-1	900238	125	158799	3	-1	102199	?
17	M	54	1039	-1	30788888026	11040393	2059199	1	3080	172799	20402	101799	30.06.2018	1	MASS	-2	-1	-1	?	148199	1	-1	101799	?
17	M	55	8638	-1	1004694326	11040407	2058399	4	3080	172799	20401	102199	30.04.2020	1	MASS	9001	-1	-1	?	158799	1	-1	102199	?
10	M	13	8594	1	1025080226	4080000	2058699	4	3080	173099	20402	101799	31.10.2019	1	MASS	-2	-1	900238	125	148199	1	-1	101799	?
10	M	54	8621	2	907209826	4060100	2059099	4	3080	173099	20401	102199	31.03.2021	1	MASS	9001	-1	900238	125	158799	1	-1	102199	?
