,Product ID,Period,Value of pay,Segment of payment,Client's gender,Client's age
1,4,99,-1,101799,M,34
2,1,13,1,101799,M,38
3,4,52,1,102299,F,46
4,4,52,1,101799,M,56
5,1,55,1,101799,F,64
6,4,99,-1,101799,M,75
7,4,54,1,101799,M,77
8,4,49,1,101799,F,77
9,4,99,-1,101799,M,48
10,4,16,1,102299,F,62
11,4,99,-2,101799,F,81
12,4,55,1,102099,F,84
13,4,99,-2,101799,F,48
14,4,13,2,102199,F,36
15,1,40,1,101799,M,82
16,4,55,1,101799,M,29
17,2,42,1,101799,F,62
18,4,52,1,101799,F,23
19,4,52,3,101799,F,60
20,6,52,625,101799,M,68
21,4,40,"9214,83",101799,M,54
22,4,99,-2,102099,F,44
23,4,44,1,101799,M,35
24,2,16,2,101799,F,35
25,2,55,1,102199,M,63
26,4,52,2,102099,M,60
27,4,44,1,101799,M,81
28,4,40,1,101799,F,64
29,4,44,1,101799,M,71
30,4,99,-9,102099,M,43
31,4,99,-2,102099,F,70
32,1,67,1,101799,M,33
33,4,70,1,101799,M,79
34,4,18,2,102099,F,33
35,1,38,1,101799,M,61
36,2,42,550,101799,F,23
37,1,42,1,101799,M,45
38,4,99,-3,101799,M,28
39,4,42,1,101799,F,83
40,4,52,2,101799,M,83
41,4,99,-1,102199,F,35
42,2,52,1,101799,F,65
43,4,99,-3,101699,F,67
44,4,18,2,102099,M,74
45,4,42,1,102199,F,28
46,4,52,1,101799,F,59
47,4,40,5,101799,F,79
48,4,42,1,101799,M,86
49,4,40,1,101799,F,74
50,4,13,1,102099,F,44
51,4,54,1,102199,F,73
52,4,18,1,101799,F,67
53,4,52,3,102199,F,44
54,1,54,1,101799,M,36
55,4,55,1,102199,F,80
56,4,13,1,101799,F,46
57,4,54,1,102199,M,38
58,4,42,1,101799,M,35
59,2,40,1,101799,M,42
60,4,54,1,101799,F,85
61,4,52,1,101799,M,38
62,4,42,1,101799,F,68
63,4,13,2,102199,M,28
64,1,16,1,101799,M,65
65,4,99,-1,101899,F,75
66,1,52,1,101799,F,33
