Client's age,Client's age
23,0.0157
24,0.01475
25,0.01515
26,0.01615
27,0.0151
28,0.01625
29,0.0164
30,0.0153
31,0.01405
32,0.0155
33,0.01625
34,0.0151
35,0.0146
36,0.01465
37,0.0163
38,0.0153
39,0.01655
40,0.01555
41,0.01535
42,0.01505
43,0.0161
44,0.014
45,0.01465
46,0.0157
47,0.01545
48,0.0149
49,0.0158
50,0.0165
51,0.0162
52,0.01575
53,0.01525
54,0.0162
55,0.01435
56,0.0159
57,0.01485
58,0.01445
59,0.0142
60,0.01655
61,0.01505
62,0.0159
63,0.0174
64,0.01575
65,0.01645
66,0.016
67,0.01535
68,0.01465
69,0.01575
70,0.016
71,0.0165
72,0.01595
73,0.01545
74,0.0163
75,0.01465
76,0.0157
77,0.01535
78,0.0167
79,0.01675
80,0.01665
81,0.0164
82,0.0151
83,0.01495
84,0.0169
85,0.01535
86,0.01715
